   ID     X     Y      Map X       Map Y        Lat        Lon    B1    B2    B3    B4    B5    B6    B7    B8    B9   B10   B11   B12
    5  2884  2557  557640.00  5448900.00  49.190192  15.791071   178   320   243   511  1308  1557  1773  1076   560    26    35    19
    6  2880  2558  557560.00  5448880.00  49.190019  15.789970   185   297   266   520  1230  1412  1584  1179   596    28    32    16
    7  2881  2558  557580.00  5448880.00  49.190017  15.790244   214   379   341   636  1423  1735  1931  1255   664    33    39    23
    8  2882  2558  557600.00  5448880.00  49.190015  15.790519   188   376   285   641  1691  1960  2198  1292   665    29    37    21
    9  2883  2558  557620.00  5448880.00  49.190013  15.790793   188   364   246   583  1698  2035  2230  1157   565    22    37    22
   10  2881  2559  557580.00  5448860.00  49.189837  15.790241   190   380   269   643  1739  2152  2328  1268   622    27    39    20

   1  2929  2582  558540.00  5448400.00  49.185609  15.803348   146   275   243   536  1062  1308  1471  1047   614    26    27    16
   2  2930  2582  558560.00  5448400.00  49.185607  15.803623   175   321   352   607   987  1193  1386  1134   691    35    33    21
   3  2931  2582  558580.00  5448400.00  49.185605  15.803897   160   292   279   548  1060  1219  1398  1090   626    27    29    16
   4  2932  2582  558600.00  5448400.00  49.185603  15.804172   156   275   253   502  1082  1309  1453  1043   557    27    29    16
   5  2929  2583  558540.00  5448380.00  49.185429  15.803345   140   266   192   496  1171  1402  1631   911   485    20    27    15
   6  2930  2583  558560.00  5448380.00  49.185427  15.803620   156   284   255   551  1100  1349  1558   975   528    28    30    17
   7  2931  2583  558580.00  5448380.00  49.185425  15.803894   147   274   206   508  1163  1359  1556   943   524    22    27    14
   8  2932  2583  558600.00  5448380.00  49.185423  15.804169   139   286   246   522  1143  1418  1610  1004   537    23    29    16

   1  2937  2576  558700.00  5448520.00  49.186673  15.805561   161   385   192   770  2995  3992  4287  1926   901    18    40    19
   2  2937  2577  558700.00  5448500.00  49.186493  15.805558   155   375   194   746  3235  4178  4488  1999   901    19    39    15
   3  2938  2577  558720.00  5448500.00  49.186491  15.805833   169   371   183   730  3138  4283  4739  1963   844    20    37    19
   4  2937  2578  558700.00  5448480.00  49.186313  15.805555   151   375   199   704  2794  3732  4121  1888   878    21    38    15
   5  2938  2578  558720.00  5448480.00  49.186311  15.805830   169   375   192   730  3086  4225  4685  1977   852    17    37    17
   6  2938  2579  558720.00  5448460.00  49.186131  15.805827   178   372   194   736  3046  4083  4437  1907   823    19    38    17

    1  2892  2641  557800.00  5447220.00  49.175066  15.793025   150   297   204   477  1080  1345  1557   868   433    22    31    18
    2  2893  2641  557820.00  5447220.00  49.175064  15.793299   154   284   205   434  1106  1309  1444   871   406    21    29    16
    3  2892  2642  557800.00  5447200.00  49.174886  15.793022   154   308   209   478  1273  1549  1747   839   424    20    30    17
    4  2893  2642  557820.00  5447200.00  49.174884  15.793296   156   292   201   484  1282  1574  1658   836   404    20    30    17
    5  2894  2642  557840.00  5447200.00  49.174882  15.793571   145   289   187   485  1263  1528  1752   824   396    20    29    16
    6  2895  2642  557860.00  5447200.00  49.174880  15.793845   149   293   199   471  1265  1580  1706   830   407    23    31    17
    7  2893  2643  557820.00  5447180.00  49.174704  15.793293   149   287   182   485  1267  1586  1721   814   395    17    28    16
    8  2894  2643  557840.00  5447180.00  49.174702  15.793568   166   293   209   499  1293  1602  1753   881   401    21    30    17
    9  2895  2643  557860.00  5447180.00  49.174700  15.793842   183   316   255   541  1284  1553  1685  1007   523    26    32    18
   10  2894  2644  557840.00  5447160.00  49.174522  15.793565   154   288   205   475  1292  1552  1779   984   475    22    28    14
   11  2895  2644  557860.00  5447160.00  49.174520  15.793839   207   339   364   613  1277  1511  1725  1240   701    38    35    20

    1  2880  2635  557560.00  5447340.00  49.176168  15.789749   443   827   673  1431  2936  3442  3783  2868  1535    67    84    47
    2  2880  2636  557560.00  5447320.00  49.175988  15.789746   441   838   744  1471  2857  3266  3650  3048  1682    75    86    48
    3  2881  2636  557580.00  5447320.00  49.175986  15.790021   479   818   742  1475  2872  3355  3786  3130  1690    75    83    47
    4  2879  2637  557540.00  5447300.00  49.175810  15.789469   565   927   990  1599  2545  2944  3347  3253  1906   102    95    58
    5  2880  2637  557560.00  5447300.00  49.175808  15.789744   480   867   828  1578  2835  3215  3520  3189  1816    84    89    51
    6  2881  2637  557580.00  5447300.00  49.175806  15.790018   443   822   719  1511  2962  3475  4009  3089  1670    74    85    47
    7  2879  2638  557540.00  5447280.00  49.175630  15.789466   528   923   953  1594  2565  2915  3356  3281  1917    97    93    54
    8  2880  2638  557560.00  5447280.00  49.175628  15.789741   480   841   800  1557  2976  3346  3623  3113  1735    83    86    48
    9  2879  2639  557540.00  5447260.00  49.175450  15.789464   478   883   805  1558  2712  3085  3515  3108  1716    81    89    49
   10  2880  2639  557560.00  5447260.00  49.175448  15.789738   441   813   726  1535  3136  3616  3834  2964  1545    75    83    45
   11  2879  2640  557540.00  5447240.00  49.175270  15.789461   449   865   735  1544  2913  3272  3656  2946  1599    72    88    47

   1  2902  2618  558000.00  5447680.00  49.179184  15.795835   149   301   168   488  1398  1717  1874   770   370    20    32    15
   2  2903  2618  558020.00  5447680.00  49.179182  15.796109   143   302   176   496  1449  1791  1921   827   384    19    30    13
   3  2902  2619  558000.00  5447660.00  49.179004  15.795832   161   303   176   459  1377  1692  1764   754   346    20    32    16
   4  2903  2619  558020.00  5447660.00  49.179003  15.796106   155   287   164   460  1354  1623  1810   770   369    17    31    16
   5  2904  2619  558040.00  5447660.00  49.179001  15.796381   151   295   186   448  1391  1658  1833   787   376    19    30    16
   6  2903  2620  558020.00  5447640.00  49.178823  15.796103   147   303   171   464  1363  1655  1775   773   369    17    31    16
   7  2904  2620  558040.00  5447640.00  49.178821  15.796378   143   283   185   465  1366  1659  1804   781   372    18    30    15
   8  2904  2621  558040.00  5447620.00  49.178641  15.796375   149   292   173   487  1365  1691  1895   758   375    17    30    15

    1  2897  2688  557900.00  5446280.00  49.166601  15.794261   220   354   376   623  1080  1298  1541  1242   687    38    35    21
    2  2896  2689  557880.00  5446260.00  49.166423  15.793984   160   283   224   528  1094  1355  1468   974   498    22    28    17
    3  2897  2689  557900.00  5446260.00  49.166422  15.794258   192   327   375   594  1085  1282  1490  1212   710    37    33    21
    4  2898  2689  557920.00  5446260.00  49.166420  15.794533   210   348   405   669  1111  1348  1481  1361   792    44    36    20
    5  2894  2690  557840.00  5446240.00  49.166247  15.793433   179   310   244   502  1133  1354  1539   963   476    24    32    20
    6  2895  2690  557860.00  5446240.00  49.166245  15.793707   153   292   222   484  1101  1355  1473   887   457    23    28    16
    7  2896  2690  557880.00  5446240.00  49.166244  15.793981   139   293   208   476  1135  1375  1530   872   438    21    29    17
    8  2897  2690  557900.00  5446240.00  49.166242  15.794256   166   275   245   488  1067  1260  1451   972   516    25    27    15
    9  2898  2690  557920.00  5446240.00  49.166240  15.794530   188   311   356   623  1065  1231  1473  1239   701    37    34    19
   10  2894  2691  557840.00  5446220.00  49.166067  15.793430   174   299   245   508  1191  1394  1633  1024   558    24    31    18
   11  2895  2691  557860.00  5446220.00  49.166066  15.793704   150   283   210   490  1198  1424  1612   887   441    23    29    16
   12  2896  2691  557880.00  5446220.00  49.166064  15.793978   133   276   196   482  1152  1394  1553   836   409    19    29    16
   13  2897  2691  557900.00  5446220.00  49.166062  15.794253   145   268   199   451  1143  1358  1551   864   432    21    28    16
   14  2898  2691  557920.00  5446220.00  49.166060  15.794527   163   306   281   567  1120  1417  1545  1112   613    28    31    18
   15  2894  2692  557840.00  5446200.00  49.165888  15.793427   198   337   292   576  1222  1530  1616  1130   600    30    35    20
   16  2895  2692  557860.00  5446200.00  49.165886  15.793701   160   302   226   512  1235  1433  1651   919   449    23    31    16
   17  2896  2692  557880.00  5446200.00  49.165884  15.793975   149   295   207   463  1202  1425  1608   867   431    24    32    18
   18  2897  2692  557900.00  5446200.00  49.165882  15.794250   149   274   206   460  1190  1415  1588   878   459    20    27    14
   19  2898  2692  557920.00  5446200.00  49.165880  15.794524   178   327   317   596  1152  1481  1572  1152   661    34    34    21
   20  2897  2693  557900.00  5446180.00  49.165702  15.794247   155   278   204   481  1182  1425  1650   948   506    23    29    16
   21  2898  2693  557920.00  5446180.00  49.165700  15.794521   174   287   269   515  1196  1449  1616  1070   603    29    29    17

   1  2899  2676  557940.00  5446520.00  49.168756  15.794845   158   308   220   499  1365  1629  1795   914   442    25    33    16
   2  2898  2677  557920.00  5446500.00  49.168578  15.794567   159   296   197   480  1284  1546  1679   839   426    22    32    19
